Designator,Mid X,Mid Y,Layer,Rotation
BT1,98,-98.3,top,-135
C1,106,-155.1,top,180
C2,98,-155.110922,top,180
C3,123.2,-158.755,top,90
C4,118.4,-154.2,top,90
C5,122,-154.9,top,90
C6,103.9,-152.35,top,-90
C7,95.85,-152.360922,top,-90
C8,114.19414,-104.48,top,90
C9,122.333995,-94.607076,top,180
C10,87.6,-120.419313,top,180
C11,124.733995,-94.782076,top,90
C12,90.030085,-120.694313,top,90
C13,127.7,-75.32,top,90
C14,98.1,-141.78,top,-90
C15,96.09,-158.2,top,90
C16,105.3,-132.78,top,-90
C17,115,-127.5,top,90
C18,108.79,-146.8,top,0
C19,113.025,-135,top,0
C20,116.3,-126.9,top,90
C21,115.9,-166.2,top,0
C22,100.73,-145.265,top,0
C23,108.7,-123.9,top,-90
C24,107.4,-123.325,top,-90
C25,138.42297,-82.705946,top,90
C26,138.42297,-80.705946,top,90
C29,109.52,-118.9,top,0
C30,111.48,-118.9,top,0
C31,116.759298,-120.090603,top,135
C32,115.398709,-118.730014,top,-45
C33,115.2,-93.2,top,180
C34,99.7,-141.75,top,-90
C35,129.1,-75.9,top,90
C36,116.55,-109.4,top,180
C37,119.8,-93.875,top,90
C38,87.6,-122.2,top,0
D1,111.082224,-159.047499,top,-90
D2,107.582224,-160.247499,top,-90
D3,103.1,-159.0475,top,-90
D4,99.625482,-160.242351,top,-90
D5,81.5,-78.515,top,90
D6,112.6,-94.8,top,180
D7,115.4,-94.8,top,0
F1,119.9,-154.9,top,-90
FB1,124.6125,-154,top,180
H1,84,-74,top,0
H2,136,-74,top,0
H3,84,-166,top,0
H4,136,-166,top,0
J1,125.5,-165.975,top,0
J3,88.4,-137.8,top,-90
L1,106.225,-150,top,180
L2,98.225,-150.010922,top,180
R1,108.8,-155.11,top,90
R2,131.5,-165.6,top,-90
R3,131.5,-163.6,top,90
R4,124.5,-155.775,top,90
R5,126.49,-155.775,top,90
R6,109.6,-151.9,top,0
R7,101.2,-151.4,top,90
R8,108.61,-150.6,top,0
R9,126.4,-110.1,top,0
R10,100.1,-150.11,top,90
R11,125,-109,top,0
R12,109.6,-153,top,0
R13,101.8,-153.5,top,0
R14,119.7,-126.19,top,90
R16,124.733995,-91.682076,top,-90
R17,90.030085,-117.544313,top,-90
R18,92.35,-122.9,top,180
R19,90.04,-124.21,top,90
R20,109.9,-123,top,90
R21,81.5,-80.61,top,-90
R22,97.2,-160.2,top,90
R23,97.2,-158.2,top,90
R24,106.79,-147.9,top,0
R25,108.79,-147.9,top,0
R26,98.73,-146.365,top,0
R27,100.73,-146.365,top,0
R28,131.02297,-82.685946,top,90
R29,132.12297,-82.685946,top,-90
R30,112.5,-93.2,top,180
R31,111.1,-123,top,-90
R32,136.29,-84.9,top,180
R33,134.29,-84.9,top,180
U1,125.5,-158.881455,top,90
U2,107.2,-152.5985,top,90
U3,99.2,-152.609422,top,90
U4,120.15,-102.7,top,90
U5,122.333995,-92.007076,top,-90
U6,87.639762,-117.811834,top,-90
U7,126.7,-71.4,top,90
U8,110,-130,top,-90
U10,100.3,-136.8,top,180
U11,135.37297,-81.735946,top,180
Y1,110.5,-120.7,top,0
Y2,114.716117,-120.816117,top,135
